Water Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values
1979,0,0.5,5.7,10.6,20.2,32.6,39.3,43.3,46.5,46.8,47.5,47.9
1980,0,4,9,18.2,37.9,55.4,60.5,64.8,67.3,68.4,69.4,69.4
1981,0,1.4,2.7,7.9,18,22.1,30.8,35.7,38.3,38.3,38.3,38.3
1982,0,6.1,19.1,32.5,45.9,53.3,69.2,78.8,79.8,81.3,82.5,83.6
1983,0,9.1,23,33.1,44.2,61.5,74,82,84.5,85.7,86,89.8
1984,0,2.6,20.5,36.4,37.5,44.5,48.4,52.8,55.5,56.6,58.5,58.8
1985,0,4.8,18.5,21.8,22.5,31,39.4,40.8,41.1,42.4,43.3,43.8
1986,0,4,14.5,21,27,45.5,54.8,56.7,59,59.4,60.6,60.9
1987,0,1,1,3.5,9.9,17.4,22.3,24,28,29.9,30.3,30.9
1988,0,1.5,5.2,14.3,22.7,23.4,24.6,27.7,30.8,31.9,32,32.8
1989,0,0.1,10.6,18.8,21,25.5,40.4,42.1,42.6,45,45,46.1
1990,0,5,9.4,9.8,16.8,23.5,26.8,30.3,34.1,34.5,35.6,36.4
1991,0,1.1,3.4,6.2,6.8,9.6,29.8,31.6,35,35.8,37,37.3
1992,0,5.5,9.7,13.9,16.2,24.2,28.1,29.4,30.2,32.4,33.4,34.5
1993,0,4.9,5.6,22,38.6,48.3,55.7,58.7,60.2,63.6,63.7,63.7
1994,0,2.3,5.1,9.9,12.9,24.4,27,30.8,33.3,33.3,33.3,33.3
1995,0,2.5,15.2,21.7,43,44.5,66.2,75.7,81.5,84.2,84.3,84.3
1996,0,0.1,0.5,13.5,27.4,41.5,50.9,56.2,62.3,64,64.4,65.5
1997,0,2.6,12.2,35.7,62,63.1,64.6,67.1,68.3,71.1,71.8,71.8
1998,0,1.9,6.6,11.9,24.3,44.4,52.4,57.4,63.3,65.4,66.6,66.6
1999,0,1.4,10.3,15.2,27.4,39.6,42.7,50.9,52.6,54.2,54.2,55.3
2000,0,2.1,5.9,6.7,22.4,36.9,39.4,42.7,46,46.8,46.9,47.3
2001,0,4.2,6.1,7.8,13.3,21.7,25.8,33,33.8,33.8,33.8,33.8
2002,0,1.5,9.3,23.2,28,30.2,38.2,40.9,42.9,43.2,43.2,43.2
2003,0,0.2,7.4,23.1,25.4,28.7,33,44.1,47.1,47.1,48.5,49.1
2004,0,0.3,5,21.3,26.5,36.5,38.8,40,41,41.1,41.1,41.3
2005,0,9,13.5,23.6,36.3,41.3,50.7,54.5,61.6,62.8,63.2,63.3
2006,0,2,6.4,27.1,36.6,42.4,55.9,67.3,68.5,68.5,68.5,69.2
2007,0,1,5.1,11.3,13.2,25.3,27.3,30.9,32.3,32.6,32.6,33.6
2008,0,1.9,2.9,10.2,23.6,32.7,34.3,35.3,38.5,38.5,39.3,39.3
2009,0,3.2,9.9,18.9,24.6,35.1,43.9,46.8,51.3,51.9,52.2,52.9
2010,0,6.1,10.6,18.9,29.3,36.1,42.5,50,53.9,54.1,54.6,54.7
2011,0,10.3,19.6,37.7,40,47.9,65.8,70.4,75.3,79.4,79.6,79.6
2012,0,3.9,6.2,6.4,13.3,16.4,26.8,31.4,32.2,33.2,33.3,34.9
2013,0,4,13.6,28.6,30.4,31.4,35.5,38,40.6,41.8,43.2,43.5
2014,0,1,2.1,6,9.5,21,25.1,28.3,30,30.1,32.1,34.6
2015,0,1.9,5.7,12.9,13.4,20.7,21.8,25.7,30.4,31.4,34.1,34.2
2016,0,3.8,10.2,21.3,33.4,36.1,48.2,52.2,53.7,53.7,53.7,53.9
2017,0,13.2,16,24.9,59.2,81.7,86.3,96.1,98.3,99.8,99.8,101.3
2018,0,0.7,11.2,12.3,17.8,20.3,40.1,44.7,46.4,46.4,46.5,46.6
2019,0,0.9,8.8,12.6,26.3,47.3,56.9,60.2,65.4,,,
