Water Year,Jan,Jan,Feb,Feb,Mar,Mar,Apr,Apr,May,May,Jun,Jun
,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1948,0,0,0,0,0,0,15,4.9,0,0,0,0
1949,0,0,0,0,0,0,39,11.6,0,0,0,0
1950,0,0,0,0,0,0,52,16.1,0,0,0,0
1951,0,0,0,0,0,0,28,9.7,0,0,0,0
1952,0,0,0,0,0,0,86,35.3,0,0,0,0
1953,0,0,0,0,0,0,40,12.3,0,0,0,0
1954,0,0,0,0,0,0,54,15.7,0,0,0,0
1955,0,0,0,0,0,0,37,10.7,0,0,0,0
1956,0,0,78,24.6,0,0,50,21.7,40,20.7,0,0
1957,0,0,26,6.4,43,10.1,34,11.5,20,8.8,0,0
1958,0,0,0,0,58,17.3,75,22.7,52,24.7,0,0
1959,0,0,0,0,0,0,23,8.4,0,0,0,0
1960,0,0,0,0,33,9.5,23,9.4,0,0,0,0
1961,0,0,0,0,17,4,19,6.3,0,0,0,0
1962,0,0,0,0,79,26.1,80,30.7,0,0,0,0
1963,0,0,0,0,33,11.8,54,17,0,0,0,0
1964,0,0,15,3.8,14,3.8,16,4.3,0,0,0,0
1965,0,0,42,14.5,42,13.9,44,13.7,0,0,0,0
1966,0,0,48,15.3,48,15.9,33,11.6,0,0,0,0
1967,0,0,76,25.8,68,26.2,78,30.3,91,34.2,62,24.8
1968,0,0,31,8,36,10.5,45,12.6,0,0,0,0
1969,0,0,90,28,155,44,102,45,74,39.3,25,13.7
1970,0,0,27,7.9,45,11.8,31,11.4,9,4,0,0
1971,0,0,38,12.2,39,12.7,30,10.8,4,1.7,0,0
1972,0,0,34,9.5,28,8.8,13,5.4,0,0,0,0
1973,0,0,52,14.9,78,24,80,27.2,55,22.4,0,0
1974,0,0,47,14.2,42,14.2,55,19.1,47,20.1,0,0
1975,0,0,18,4.6,32,9.7,49,15.9,45,15.9,0,0
1976,0,0,0,0,15,3.5,18,5.5,0,0,0,0
1977,0,0,15,3.4,21,4.7,19,4.9,0,0,0,0
1978,0,0,66,19.6,88,31.7,89,37.3,84,40.2,0,0
1979,0,0,26,6.7,48,14.1,46,14.7,30,12.3,0,0
1980,0,0,38,12.1,78,25,79,29.5,52,25.9,0,0
1981,0,0,48,7.6,36,8.2,39,10.9,12,4.5,0,0
1982,0,0,56,12.7,41,13.5,73,20.3,57,22.8,0,0
1983,0,0,74,19.8,105,36.5,99,38.6,90,38.7,50,25.3
1984,0,0,38,12.1,46,15,34,12.9,12,5.4,0,0
1985,0,0,40,12.9,44,13.4,60,19,21,9.4,0,0
1986,0,0,34,10,85,28.8,81,34.8,66,32.4,0,0
1987,0,0,8,1.7,27,4.8,29,7.8,0,0,0,0
1988,0,0,28,6.8,34,7.9,10,4,0,0,0,0
1989,0,0,33,9.2,56,16.8,39,14.4,1,0.2,0,0
1990,0,0,17,3.6,27,9.7,16,6.2,0,0,0,0
1991,0,0,7,1.2,29,3.2,46,15.1,23,11.3,0,0
1992,0,0,13,3.1,33,8.7,33,9.1,3,1.1,0,0
1993,0,0,61,17.6,88,26.9,65,26.4,39,20.5,0,0
1994,0,0,14,3.7,38,8.8,26,8.8,6,1.2,0,0
1995,0,0,74,16.9,55,19.3,81,31.5,61,29.4,0,0
1996,0,0,24,5.8,59,17.6,48,19,33,14.8,0,0
1997,0,0,76,23.7,63,22.3,46,19,25,11.1,0,0
1998,0,0,36,9.5,92,26.1,71,27.9,70,27.4,0,0
1999,0,0,28,6.2,31,10.5,29,10.4,19,7.8,0,0
2000,0,0,14,2.9,45,13.3,33,14.2,17,8.5,0,0
2001,0,0,21,4.4,45,11.2,35,12.8,26,11,0,0
2002,0,0,32,9.7,38,12.5,36,12.1,2,1.2,0,0
2003,0,0,34,11.2,50,14.5,40,13.9,21,8.3,0,0
2004,0,0,30,8.8,59,15.9,29,11.2,8,3.2,0,0
2005,0,0,75,24.4,85,27.4,75,29.9,56,27.8,0,0
2006,0,0,54,16.2,46,16.1,64,21.1,60,26.2,0,0
2007,0,0,10,1.3,18,3.1,0,0.1,0,0,0,0
2008,0,0,54,14.9,69,21.7,45,21.1,17,9.6,0,0
2009,0,0,23,5.3,46,11.9,43,13.6,16,6,0,0
2010,0,0,57,14.1,54,16.1,49,18.7,40,17.9,0,0
2011,0,0,61,21.3,63,22.3,92,30.4,54,24.8,0,0
2012,0,0,23,5.3,21,5.7,20,6.8,0,0,0,0
2013,0,0,32,7.1,28,6.6,9,3.8,0,0,0,0
2014,0,0,9,1,2,1,4,1.5,1,0,0,0
2015,0,0,0,0,10,3.5,0,0,0,0,0,0
2016,0,0,37,8.5,0,0,33,13,16,7,0,0
2017,0,0,80,26.5,110,36.5,82,38,56,31,23,12.5
2018,0,0,4,1.5,12,2.5,26,7,0,0,0,0
2019,0,0,42,12,85,28,86,32.5,53,26.5,0,0
